time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.006,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.019,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.026,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.036,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.048,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.056,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.072,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.078,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.087,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.096,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.107,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.117,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.126,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.14,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.154,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.156,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.166,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.178,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.187,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.202,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.206,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.218,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.226,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.236,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.252,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.256,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
0.268,-0.0213,0.0721,-0.0934,-5.354,-1.4433,-1.422,-0.0213,-1.221
