time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.02,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.024,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.03,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.041,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.05,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.063,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.071,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.085,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.09,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.101,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.114,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.122,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.13,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.139,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.157,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.161,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.17,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.18,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.189,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.199,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.212,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.219,0.5823,0.6657,-0.0834,-4.779,-1.5101,-1.4235,-0.0866,-4.96
0.23,0.5823,0.6673,-0.0849,-4.867,-1.5101,-1.4235,-0.0866,-4.96
0.241,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.256,0.5815,0.6657,-0.0842,-4.825,-1.5034,-1.4235,-0.0798,-4.575
0.264,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.269,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.281,0.5815,0.6657,-0.0842,-4.825,-1.5034,-1.4235,-0.0798,-4.575
0.293,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.3,0.5815,0.6657,-0.0842,-4.825,-1.5034,-1.4235,-0.0798,-4.575
0.31,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.321,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.33,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.341,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.352,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.359,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.369,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.38,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.391,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.405,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.411,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.421,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.43,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.44,0.5815,0.6657,-0.0842,-4.825,-1.5034,-1.4235,-0.0798,-4.575
0.451,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.459,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
0.469,0.5815,0.6673,-0.0857,-4.913,-1.5034,-1.4235,-0.0798,-4.575
