time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8882,-0.3009,-17.239
0.003,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8882,-0.3009,-17.239
0.02,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8897,-0.2994,-17.152
0.025,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8912,-0.2978,-17.064
0.027,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8928,-0.2963,-16.976
0.028,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8943,-0.2947,-16.888
0.03,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8943,-0.2947,-16.888
0.032,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8974,-0.2917,-16.712
0.033,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.8989,-0.2901,-16.624
0.035,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9004,-0.2886,-16.536
0.038,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.902,-0.2871,-16.448
0.05,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9035,-0.2855,-16.361
0.051,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.905,-0.284,-16.273
0.056,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9066,-0.2825,-16.185
0.057,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9081,-0.2809,-16.097
0.059,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9097,-0.2794,-16.009
0.064,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9112,-0.2779,-15.921
0.078,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9112,-0.2779,-15.921
0.084,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9127,-0.2763,-15.833
0.097,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9143,-0.2748,-15.745
0.11,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9158,-0.2733,-15.657
0.116,-0.4109,-0.5492,0.1383,7.923,-1.1891,-0.9173,-0.2717,-15.57
0.125,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9219,-0.1934,-11.082
0.135,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9235,-0.1919,-10.994
0.156,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9265,-0.1888,-10.818
0.163,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9265,-0.1888,-10.818
0.168,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9281,-0.1873,-10.73
0.177,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9296,-0.1857,-10.642
0.193,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9311,-0.1842,-10.554
0.195,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9327,-0.1827,-10.466
0.205,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9342,-0.1811,-10.378
0.217,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9357,-0.1796,-10.291
0.225,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9373,-0.1781,-10.203
0.235,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9388,-0.1765,-10.115
0.254,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9419,-0.1735,-9.939
0.257,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9419,-0.1735,-9.939
0.265,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9434,-0.1719,-9.851
0.283,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.9465,-0.1689,-9.675
0.289,-0.3403,-0.5492,0.2089,11.967,-1.1153,-0.948,-0.1673,-9.587
0.298,-0.3403,-0.5476,0.2073,11.879,-1.1153,-0.9495,-0.1658,-9.5
0.305,-0.3403,-0.5476,0.2073,11.879,-1.1153,-0.9511,-0.1643,-9.412
0.319,-0.3403,-0.5476,0.2073,11.879,-1.1153,-0.9511,-0.1643,-9.412
0.325,-0.3403,-0.5476,0.2073,11.879,-1.1153,-0.9526,-0.1627,-9.324
0.338,-0.3403,-0.5476,0.2073,11.879,-1.1153,-0.9541,-0.1612,-9.236
0.353,-0.3403,-0.5476,0.2073,11.879,-1.1153,-0.9557,-0.1597,-9.148
0.355,-0.3087,-0.5476,0.2389,13.687,-1.0919,-0.9572,-0.1347,-7.715
0.369,-0.3087,-0.5476,0.2389,13.687,-1.0919,-0.9587,-0.1331,-7.627
0.379,-0.3087,-0.5476,0.2389,13.687,-1.0919,-0.9587,-0.1331,-7.627
0.384,-0.3087,-0.5476,0.2389,13.687,-1.0919,-0.9603,-0.1316,-7.539
0.395,-0.3087,-0.5476,0.2389,13.687,-1.0919,-0.9633,-0.1285,-7.363
0.405,-0.3087,-0.5461,0.2373,13.599,-1.0919,-0.9633,-0.1285,-7.363
0.415,-0.3087,-0.5461,0.2373,13.599,-1.0919,-0.9649,-0.127,-7.276
0.426,-0.3087,-0.5461,0.2373,13.599,-1.0919,-0.9664,-0.1254,-7.188
0.436,-0.3087,-0.5461,0.2373,13.599,-1.0919,-0.9679,-0.1239,-7.1
0.447,-0.3087,-0.5461,0.2373,13.599,-1.0919,-0.971,-0.1208,-6.924
0.454,-0.3087,-0.5461,0.2373,13.599,-1.0919,-0.971,-0.1208,-6.924
0.465,-0.3087,-0.5446,0.2358,13.511,-1.0919,-0.9725,-0.1193,-6.836
0.48,-0.3087,-0.5446,0.2358,13.511,-1.0919,-0.9741,-0.1178,-6.748
0.485,-0.3087,-0.5446,0.2358,13.511,-1.0919,-0.9756,-0.1162,-6.66
0.496,-0.3087,-0.5446,0.2358,13.511,-1.0919,-0.9771,-0.1147,-6.572
0.504,-0.3087,-0.5446,0.2358,13.511,-1.0919,-0.9787,-0.1132,-6.485
0.515,-0.3087,-0.543,0.2343,13.423,-1.0919,-0.9787,-0.1132,-6.485
0.526,-0.3087,-0.5415,0.2327,13.335,-1.0919,-0.9802,-0.1116,-6.397
0.539,-0.3087,-0.5415,0.2327,13.335,-1.0919,-0.9802,-0.1116,-6.397
0.546,-0.3087,-0.54,0.2312,13.248,-1.0919,-0.9817,-0.1101,-6.309
0.555,-0.3087,-0.54,0.2312,13.248,-1.0919,-0.9833,-0.1086,-6.221
0.566,-0.3087,-0.54,0.2312,13.248,-1.0919,-0.9848,-0.107,-6.133
0.576,-0.3087,-0.5384,0.2297,13.16,-1.0919,-0.9848,-0.107,-6.133
0.587,-0.3175,-0.5384,0.2209,12.656,-1.1495,-0.9863,-0.1631,-9.345
0.597,-0.3175,-0.5384,0.2209,12.656,-1.1495,-0.9863,-0.1631,-9.345
0.604,-0.3175,-0.5384,0.2209,12.656,-1.1495,-0.9863,-0.1631,-9.345
0.617,-0.3175,-0.5369,0.2194,12.569,-1.1495,-0.9863,-0.1631,-9.345
0.624,-0.3175,-0.5369,0.2194,12.569,-1.1495,-0.9863,-0.1631,-9.345
0.635,-0.3175,-0.5354,0.2178,12.481,-1.1495,-0.9863,-0.1631,-9.345
0.645,-0.3175,-0.5338,0.2163,12.393,-1.1495,-0.9879,-0.1616,-9.258
0.655,-0.3175,-0.5308,0.2132,12.217,-1.1495,-0.9879,-0.1616,-9.258
0.669,-0.3175,-0.5292,0.2117,12.129,-1.1495,-0.9894,-0.16,-9.17
0.678,-0.3175,-0.5277,0.2102,12.041,-1.1495,-0.9894,-0.16,-9.17
0.685,-0.3175,-0.5262,0.2086,11.953,-1.1495,-0.9894,-0.16,-9.17
0.696,-0.3175,-0.5246,0.2071,11.865,-1.1495,-0.9894,-0.16,-9.17
0.715,-0.3175,-0.5231,0.2056,11.778,-1.1495,-0.991,-0.1585,-9.082
0.718,-0.3175,-0.5216,0.204,11.69,-1.1495,-0.991,-0.1585,-9.082
0.73,-0.3175,-0.5185,0.201,11.514,-1.1495,-0.9925,-0.157,-8.994
0.736,-0.3175,-0.517,0.1994,11.426,-1.1495,-0.9925,-0.157,-8.994
0.744,-0.3175,-0.517,0.1994,11.426,-1.1495,-0.9956,-0.1539,-8.818
0.754,-0.3175,-0.5154,0.1979,11.338,-1.1495,-0.9971,-0.1524,-8.73
0.766,-0.3175,-0.5123,0.1948,11.162,-1.1495,-0.9986,-0.1508,-8.642
0.783,-0.3175,-0.5108,0.1933,11.074,-1.1495,-0.9986,-0.1508,-8.642
0.788,-0.3175,-0.5093,0.1918,10.987,-1.1495,-1.0002,-0.1493,-8.554
0.803,-0.3293,-0.5077,0.1784,10.222,-1.1838,-1.0002,-0.1837,-10.524
0.805,-0.3293,-0.5062,0.1769,10.134,-1.1838,-1.0002,-0.1837,-10.524
0.816,-0.3293,-0.5047,0.1753,10.046,-1.1838,-1.0002,-0.1837,-10.524
0.826,-0.3293,-0.5031,0.1738,9.958,-1.1838,-1.0002,-0.1837,-10.524
0.835,-0.3293,-0.5031,0.1738,9.958,-1.1838,-1.0002,-0.1837,-10.524
0.849,-0.3293,-0.5016,0.1723,9.87,-1.1838,-1.0002,-0.1837,-10.524
0.855,-0.3293,-0.5001,0.1707,9.782,-1.1838,-1.0002,-0.1837,-10.524
0.868,-0.3293,-0.4985,0.1692,9.694,-1.1838,-1.0002,-0.1837,-10.524
0.879,-0.3293,-0.497,0.1677,9.607,-1.1838,-1.0002,-0.1837,-10.524
0.888,-0.3293,-0.4955,0.1661,9.519,-1.1838,-1.0017,-0.1821,-10.436
0.895,-0.3293,-0.4939,0.1646,9.431,-1.1838,-1.0017,-0.1821,-10.436
0.905,-0.3293,-0.4939,0.1646,9.431,-1.1838,-1.0032,-0.1806,-10.348
0.917,-0.3293,-0.4924,0.1631,9.343,-1.1838,-1.0048,-0.1791,-10.26
0.927,-0.3293,-0.4909,0.1615,9.255,-1.1838,-1.0048,-0.1791,-10.26
0.935,-0.3293,-0.4893,0.16,9.167,-1.1838,-1.0063,-0.1775,-10.172
0.947,-0.3293,-0.4893,0.16,9.167,-1.1838,-1.0078,-0.176,-10.085
0.958,-0.3293,-0.4878,0.1585,9.079,-1.1838,-1.0078,-0.176,-10.085
0.966,-0.3293,-0.4863,0.1569,8.991,-1.1838,-1.0094,-0.1745,-9.997
0.982,-0.3293,-0.4847,0.1554,8.903,-1.1838,-1.0094,-0.1745,-9.997
0.986,-0.3293,-0.4847,0.1554,8.903,-1.1838,-1.0109,-0.1729,-9.909
0.995,-0.3293,-0.4832,0.1539,8.816,-1.1838,-1.0109,-0.1729,-9.909
1.006,-0.3293,-0.4832,0.1539,8.816,-1.1838,-1.0124,-0.1714,-9.821
1.017,-0.3293,-0.4817,0.1523,8.728,-1.1838,-1.0124,-0.1714,-9.821
1.028,-0.3293,-0.4817,0.1523,8.728,-1.1838,-1.014,-0.1699,-9.733
1.037,-0.3061,-0.4801,0.174,9.972,-1.2194,-1.014,-0.2054,-11.771
1.046,-0.3061,-0.4786,0.1725,9.884,-1.2194,-1.0155,-0.2039,-11.684
1.055,-0.3061,-0.4786,0.1725,9.884,-1.2194,-1.0155,-0.2039,-11.684
1.069,-0.3061,-0.4771,0.171,9.796,-1.2194,-1.017,-0.2024,-11.596
1.085,-0.3061,-0.4755,0.1694,9.709,-1.2194,-1.0201,-0.1993,-11.42
1.087,-0.3061,-0.4755,0.1694,9.709,-1.2194,-1.0201,-0.1993,-11.42
1.096,-0.3061,-0.474,0.1679,9.621,-1.2194,-1.0201,-0.1993,-11.42
1.106,-0.3061,-0.474,0.1679,9.621,-1.2194,-1.0216,-0.1978,-11.332
1.125,-0.3061,-0.474,0.1679,9.621,-1.2194,-1.0232,-0.1962,-11.244
1.127,-0.3061,-0.4725,0.1664,9.533,-1.2194,-1.0232,-0.1962,-11.244
1.135,-0.3061,-0.4725,0.1664,9.533,-1.2194,-1.0247,-0.1947,-11.156
1.147,-0.3061,-0.4709,0.1648,9.445,-1.2194,-1.0262,-0.1932,-11.068
1.163,-0.3061,-0.4709,0.1648,9.445,-1.2194,-1.0262,-0.1932,-11.068
1.175,-0.3061,-0.4694,0.1633,9.357,-1.2194,-1.0278,-0.1916,-10.98
