time_s,node_cpu_percent
0.0,4.1
0.003,0.0
0.02,0.0
0.025,189.7
0.027,0.0
0.028,0.0
0.03,0.0
0.032,0.0
0.033,0.0
0.035,0.0
0.038,286.0
0.05,91.8
0.051,0.0
0.056,0.0
0.057,0.0
0.059,0.0
0.064,186.2
0.078,0.0
0.084,0.0
0.097,0.0
0.11,0.0
0.116,174.1
0.125,0.0
0.135,0.0
0.156,0.0
0.163,150.8
0.168,0.0
0.177,0.0
0.193,0.0
0.195,0.0
0.205,103.4
0.217,83.9
0.225,0.0
0.235,0.0
0.254,0.0
0.257,0.0
0.265,127.0
0.283,0.0
0.289,0.0
0.298,0.0
0.305,0.0
0.319,0.0
0.325,0.0
0.338,0.0
0.353,69.3
0.355,0.0
0.369,0.0
0.379,0.0
0.384,0.0
0.395,0.0
0.405,99.9
0.415,0.0
0.426,0.0
0.436,0.0
0.447,90.8
0.454,0.0
0.465,0.0
0.48,66.8
0.485,0.0
0.496,0.0
0.504,0.0
0.515,0.0
0.526,0.0
0.539,78.0
0.546,0.0
0.555,0.0
0.566,0.0
0.576,0.0
0.587,0.0
0.597,0.0
0.604,140.1
0.617,0.0
0.624,0.0
0.635,92.5
0.645,0.0
0.655,0.0
0.669,70.3
0.678,0.0
0.685,0.0
0.696,0.0
0.715,0.0
0.718,0.0
0.73,0.0
0.736,169.4
0.744,0.0
0.754,0.0
0.766,0.0
0.783,57.8
0.788,0.0
0.803,0.0
0.805,0.0
0.816,0.0
0.826,0.0
0.835,109.1
0.849,0.0
0.855,0.0
0.868,0.0
0.879,88.4
0.888,0.0
0.895,148.4
0.905,0.0
0.917,0.0
0.927,0.0
0.935,0.0
0.947,0.0
0.958,86.4
0.966,0.0
0.982,0.0
0.986,0.0
0.995,0.0
1.006,0.0
1.017,93.5
1.028,0.0
1.037,0.0
1.046,0.0
1.055,114.8
1.069,0.0
1.085,0.0
1.087,0.0
1.096,0.0
1.106,0.0
1.125,0.0
1.127,477.9
1.135,0.0
1.147,84.9
1.163,0.0
1.175,0.0
1.177,0.0
1.188,0.0
1.196,0.0
1.207,94.6
1.215,0.0
1.224,0.0
1.237,0.0
1.247,0.0
1.257,0.0
1.265,0.0
1.28,69.0
1.286,0.0
1.299,0.0
1.319,0.0
1.325,0.0
1.333,0.0
1.335,385.9
1.346,0.0
1.355,0.0
1.366,0.0
1.38,71.3
1.386,0.0
1.395,132.6
1.406,0.0
1.416,0.0
1.426,0.0
1.435,0.0
1.447,88.6
1.468,0.0
1.48,0.0
1.486,0.0
1.495,0.0
1.505,98.0
1.516,0.0
1.527,0.0
1.537,0.0
1.544,0.0
1.555,0.0
1.564,0.0
1.577,74.5
1.588,0.0
1.594,0.0
1.606,0.0
1.617,0.0
1.624,0.0
1.638,71.3
1.648,0.0
1.655,0.0
1.666,91.7
1.676,101.0
1.685,0.0
1.697,0.0
1.706,0.0
1.715,0.0
1.726,91.0
1.735,0.0
1.746,0.0
1.758,0.0
1.765,0.0
1.776,86.1
1.788,0.0
1.796,0.0
1.807,0.0
1.815,0.0
1.828,0.0
1.836,126.3
1.846,0.0
1.855,0.0
1.869,0.0
1.875,0.0
1.885,0.0
1.896,0.0
1.905,135.7
1.917,0.0
1.926,0.0
1.936,104.5
1.945,0.0
1.961,62.3
1.968,0.0
1.981,0.0
1.987,0.0
1.995,0.0
2.007,83.5
2.016,0.0
2.027,0.0
2.037,0.0
2.047,0.0
2.055,125.7
2.065,0.0
2.075,0.0
2.084,0.0
2.098,0.0
2.105,140.2
2.118,0.0
2.128,0.0
2.136,0.0
2.147,0.0
2.155,114.6
2.165,0.0
2.184,54.1
2.19,0.0
2.197,0.0
2.206,0.0
2.216,0.0
2.228,80.6
2.238,0.0
2.249,0.0
2.255,0.0
2.266,0.0
2.275,107.1
2.284,0.0
2.295,0.0
2.307,85.4
2.315,0.0
2.33,64.6
2.335,0.0
2.348,0.0
2.356,0.0
2.365,0.0
2.377,84.6
2.387,0.0
2.4,0.0
2.409,0.0
2.415,0.0
2.426,0.0
2.435,107.3
2.446,0.0
2.459,0.0
2.466,0.0
2.481,0.0
2.489,0.0
2.499,91.5
2.508,0.0
2.52,0.0
2.528,0.0
2.535,0.0
2.548,0.0
2.561,82.3
2.565,0.0
2.583,0.0
2.587,0.0
2.595,0.0
2.605,0.0
2.615,101.4
2.627,0.0
2.635,116.9
2.645,0.0
2.658,0.0
2.669,0.0
2.683,0.0
2.687,0.0
2.695,0.0
2.707,88.2
2.72,0.0
2.726,0.0
2.735,0.0
2.745,0.0
2.755,0.0
2.767,0.0
2.785,0.0
2.789,231.1
2.797,0.0
2.807,100.7
2.819,0.0
2.829,0.0
2.835,0.0
2.852,60.5
2.856,0.0
2.866,0.0
2.883,0.0
2.886,0.0
2.896,100.2
2.905,0.0
2.915,0.0
2.926,0.0
2.935,0.0
2.949,0.0
2.957,136.7
2.966,0.0
2.976,101.1
2.986,0.0
2.995,0.0
3.007,0.0
3.016,0.0
3.025,0.0
3.036,90.1
3.046,0.0
3.056,0.0
3.067,0.0
3.078,0.0
3.089,0.0
3.096,156.9
3.11,0.0
3.121,0.0
3.127,0.0
3.145,55.7
3.151,0.0
3.157,0.0
3.165,0.0
3.179,70.6
3.187,0.0
3.195,113.3
3.209,0.0
3.218,0.0
3.226,129.6
3.237,0.0
3.252,70.0
3.263,0.0
3.268,0.0
3.28,80.1
3.287,0.0
3.297,0.0
3.306,0.0
3.33,77.7
3.336,0.0
3.338,0.0
3.347,0.0
3.355,0.0
3.365,103.8
3.376,0.0
3.387,0.0
3.397,0.0
3.405,0.0
3.415,104.1
3.425,0.0
3.436,0.0
3.446,0.0
3.455,0.0
3.466,0.0
3.475,112.8
3.487,0.0
3.497,0.0
3.505,125.5
3.517,0.0
3.525,0.0
3.537,0.0
3.552,67.2
3.555,0.0
3.565,0.0
3.576,0.0
3.592,0.0
3.595,0.0
3.608,77.0
3.618,0.0
3.626,0.0
3.635,0.0
3.647,0.0
3.657,0.0
3.665,0.0
3.678,76.6
3.685,0.0
3.695,0.0
3.711,0.0
3.72,0.0
3.725,188.1
3.735,0.0
3.754,54.0
3.755,0.0
3.765,0.0
3.778,0.0
3.786,138.0
3.798,0.0
3.808,0.0
3.816,0.0
3.825,0.0
3.838,0.0
3.849,0.0
3.856,0.0
3.867,95.6
3.882,0.0
3.89,0.0
3.895,0.0
3.905,0.0
3.921,64.4
3.925,214.1
3.935,0.0
3.945,0.0
3.959,0.0
3.965,0.0
3.978,0.0
3.988,102.8
3.995,0.0
4.006,0.0
4.017,0.0
4.025,0.0
4.035,0.0
4.049,0.0
4.056,130.6
4.065,0.0
4.083,0.0
4.089,0.0
4.095,0.0
4.105,0.0
4.117,0.0
4.125,249.1
4.138,0.0
4.147,0.0
