time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.005,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.015,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.036,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.043,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.047,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.056,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.069,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.078,0.1624,0.1718,-0.0094,-0.537,-2.7209,-2.1062,-0.6147,-35.221
0.086,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.102,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.106,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.115,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.133,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.136,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.146,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.156,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.172,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.175,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.185,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.205,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.208,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.217,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.23,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.235,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.247,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.257,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.271,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.275,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.286,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.302,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.305,0.1675,0.1718,-0.0043,-0.244,-2.7192,-2.1062,-0.613,-35.124
0.317,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.325,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.336,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.347,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.356,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.367,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.378,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.387,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.4,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.409,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.415,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.431,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.435,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.448,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.455,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.466,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.476,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.49,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.497,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.506,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.516,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.53,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.535,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.546,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.556,0.1695,0.1718,-0.0023,-0.133,-2.7292,-2.1062,-0.623,-35.695
0.568,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.576,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.588,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.596,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.607,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.618,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.627,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.638,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.647,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.657,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.67,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.679,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.686,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.701,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.709,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.717,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
0.733,0.1601,0.1718,-0.0117,-0.673,-2.6814,-2.1062,-0.5753,-32.962
