time_s,node_cpu_percent
0.0,23.0
0.005,217.3
0.015,0.0
0.036,0.0
0.043,0.0
0.047,208.3
0.056,0.0
0.069,0.0
0.078,0.0
0.086,121.3
0.102,0.0
0.106,0.0
0.115,0.0
0.133,55.0
0.136,392.5
0.146,0.0
0.156,0.0
0.172,0.0
0.175,0.0
0.185,0.0
0.205,0.0
0.208,364.6
0.217,0.0
0.23,0.0
0.235,0.0
0.247,0.0
0.257,101.9
0.271,0.0
0.275,0.0
0.286,0.0
0.302,61.6
0.305,0.0
0.317,82.4
0.325,0.0
0.336,96.0
0.347,0.0
0.356,0.0
0.367,0.0
0.378,0.0
0.387,0.0
0.4,0.0
0.409,122.0
0.415,0.0
0.431,0.0
0.435,0.0
0.448,0.0
0.455,0.0
0.466,97.6
0.476,0.0
0.49,0.0
0.497,0.0
0.506,104.9
0.516,0.0
0.53,0.0
0.535,0.0
0.546,0.0
0.556,107.7
0.568,0.0
0.576,123.2
0.588,0.0
0.596,0.0
0.607,0.0
0.618,94.4
0.627,0.0
0.638,0.0
0.647,0.0
0.657,98.8
0.67,0.0
0.679,0.0
0.686,0.0
0.701,0.0
0.709,120.2
0.717,0.0
0.733,0.0
0.745,0.0
0.756,97.8
0.76,0.0
0.769,0.0
0.776,0.0
0.786,0.0
0.797,89.1
0.806,0.0
0.815,102.8
0.826,0.0
0.839,0.0
0.849,0.0
0.86,87.8
0.866,0.0
0.876,0.0
0.886,0.0
0.899,0.0
0.91,93.4
0.917,0.0
0.933,0.0
0.937,0.0
0.947,0.0
0.957,0.0
0.969,0.0
0.976,134.2
0.988,0.0
1.004,0.0
1.008,213.3
1.018,0.0
1.029,0.0
1.044,0.0
1.046,564.9
1.056,0.0
1.071,0.0
1.079,0.0
1.088,0.0
1.1,0.0
1.106,0.0
1.12,70.4
1.135,0.0
1.137,0.0
1.146,0.0
1.157,0.0
1.17,79.1
1.175,0.0
1.186,0.0
1.198,96.5
1.206,0.0
1.217,0.0
1.225,0.0
1.239,0.0
1.245,0.0
1.262,59.9
1.268,0.0
1.276,0.0
1.287,0.0
1.299,0.0
1.308,115.1
1.316,0.0
1.33,0.0
1.336,0.0
1.347,89.1
1.355,0.0
1.366,92.6
1.378,0.0
1.387,0.0
1.399,0.0
1.408,0.0
1.425,58.2
1.431,0.0
1.435,0.0
1.446,0.0
1.457,0.0
1.471,71.3
1.48,0.0
1.485,0.0
1.5,0.0
1.504,0.0
1.515,97.8
1.535,50.1
1.536,0.0
1.544,0.0
1.558,0.0
1.578,0.0
1.58,0.0
1.586,0.0
1.601,67.6
1.609,0.0
1.638,0.0
1.64,0.0
1.643,0.0
1.645,901.9
1.655,0.0
1.672,0.0
1.677,0.0
1.694,0.0
1.703,0.0
1.706,295.9
1.716,0.0
1.727,0.0
1.745,0.0
1.75,0.0
1.756,0.0
1.767,0.0
1.778,88.8
1.786,0.0
1.798,0.0
1.807,0.0
1.818,0.0
1.835,0.0
1.836,768.4
1.846,0.0
1.856,0.0
1.87,0.0
1.88,0.0
1.889,209.7
1.905,0.0
1.911,0.0
1.921,0.0
1.926,0.0
1.941,64.2
1.948,0.0
1.956,0.0
1.974,0.0
1.976,0.0
1.987,92.6
2.003,0.0
2.008,0.0
2.016,0.0
2.026,0.0
2.077,19.5
2.08,0.0
2.082,0.0
2.085,375.2
2.086,0.0
2.087,0.0
2.097,0.0
2.106,0.0
2.115,102.5
2.126,0.0
2.136,0.0
2.146,0.0
2.155,0.0
2.169,73.5
2.175,0.0
2.186,0.0
2.197,0.0
2.208,0.0
2.216,0.0
2.231,0.0
2.237,176.0
2.247,0.0
2.255,0.0
2.265,0.0
2.277,0.0
2.286,115.7
2.297,89.9
2.305,0.0
2.317,0.0
2.327,0.0
2.34,0.0
2.35,0.0
2.355,184.6
2.367,0.0
2.377,0.0
2.388,0.0
2.399,0.0
2.408,0.0
2.416,0.0
2.427,0.0
2.443,62.9
2.451,0.0
2.457,0.0
2.468,0.0
2.476,0.0
2.486,101.2
2.498,0.0
2.506,0.0
2.515,113.0
2.532,0.0
2.537,0.0
2.548,95.4
2.555,0.0
2.568,0.0
2.579,0.0
2.585,0.0
2.597,88.3
2.607,0.0
2.618,0.0
2.63,0.0
2.637,0.0
2.646,0.0
