time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,-0.8932,-0.8897,-0.0035,-0.203,-0.9966,-0.9848,-0.0117,-0.672
0.005,-0.8932,-0.8897,-0.0035,-0.203,-0.9966,-0.9848,-0.0117,-0.672
0.007,-0.8932,-0.8897,-0.0035,-0.203,-0.9966,-0.9848,-0.0117,-0.672
0.01,-0.8932,-0.8897,-0.0035,-0.203,-0.9966,-0.9848,-0.0117,-0.672
0.021,-0.8932,-0.8897,-0.0035,-0.203,-0.9966,-0.9848,-0.0117,-0.672
0.03,-0.8932,-0.8897,-0.0035,-0.203,-0.9966,-0.9848,-0.0117,-0.672
0.034,-0.8932,-0.8912,-0.002,-0.115,-0.9966,-0.9848,-0.0117,-0.672
0.041,-0.8932,-0.8928,-0.0005,-0.027,-0.9966,-0.9848,-0.0117,-0.672
0.045,-0.8932,-0.8928,-0.0005,-0.027,-0.9966,-0.9848,-0.0117,-0.672
0.054,-0.8932,-0.8928,-0.0005,-0.027,-0.9966,-0.9848,-0.0117,-0.672
0.056,-0.8932,-0.8928,-0.0005,-0.027,-0.9966,-0.9848,-0.0117,-0.672
0.059,-0.8932,-0.8943,0.0011,0.061,-0.9966,-0.9848,-0.0117,-0.672
0.062,-0.8932,-0.8943,0.0011,0.061,-0.9966,-0.9848,-0.0117,-0.672
0.064,-0.8932,-0.8943,0.0011,0.061,-0.9966,-0.9848,-0.0117,-0.672
0.066,-0.8932,-0.8958,0.0026,0.149,-0.9966,-0.9848,-0.0117,-0.672
0.067,-0.8932,-0.8958,0.0026,0.149,-0.9966,-0.9848,-0.0117,-0.672
0.069,-0.8932,-0.8958,0.0026,0.149,-0.9966,-0.9848,-0.0117,-0.672
0.074,-0.8932,-0.8974,0.0041,0.237,-0.9966,-0.9848,-0.0117,-0.672
0.084,-0.8932,-0.8974,0.0041,0.237,-0.9966,-0.9848,-0.0117,-0.672
0.093,-0.8932,-0.8974,0.0041,0.237,-0.9966,-0.9848,-0.0117,-0.672
0.104,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9848,-0.0117,-0.672
0.122,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9848,-0.0117,-0.672
0.125,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9848,-0.0117,-0.672
0.139,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9848,-0.0117,-0.672
0.143,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.157,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.162,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.173,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.196,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.2,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.206,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.224,-0.8932,-0.8989,0.0057,0.325,-0.9966,-0.9863,-0.0102,-0.585
0.228,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.233,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.243,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.256,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.262,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.273,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.295,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.299,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.303,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.319,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
0.323,-0.8789,-0.8989,0.02,1.145,-0.9902,-0.9863,-0.0038,-0.22
