time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.001,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.002,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.003,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.004,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.005,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.006,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.007,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.008,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.009,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.01,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.018,-0.064,0.0276,-0.0917,-5.251,-1.3355,-1.3499,0.0144,0.822
0.027,-0.064,0.0261,-0.0901,-5.164,-1.3355,-1.3499,0.0144,0.822
0.039,-0.064,0.0261,-0.0901,-5.164,-1.3355,-1.3499,0.0144,0.822
0.047,-0.064,0.0261,-0.0901,-5.164,-1.3355,-1.3499,0.0144,0.822
0.06,-0.064,0.0261,-0.0901,-5.164,-1.3355,-1.3499,0.0144,0.822
0.068,-0.064,0.0261,-0.0901,-5.164,-1.3355,-1.3499,0.0144,0.822
0.078,-0.064,0.0261,-0.0901,-5.164,-1.3355,-1.3499,0.0144,0.822
0.097,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.105,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.11,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.12,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.128,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.141,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.153,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.157,-0.064,0.0245,-0.0886,-5.076,-1.3355,-1.3499,0.0144,0.822
0.169,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3499,0.0072,0.412
0.181,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3499,0.0072,0.412
0.195,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3484,0.0057,0.324
0.2,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3484,0.0057,0.324
0.207,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3484,0.0057,0.324
0.222,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3484,0.0057,0.324
0.228,-0.0715,0.0245,-0.0961,-5.504,-1.3427,-1.3484,0.0057,0.324
0.238,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3484,0.0057,0.324
0.247,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3484,0.0057,0.324
0.26,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3484,0.0057,0.324
0.27,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.284,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.298,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.3,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.308,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.32,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.33,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3484,0.0057,0.324
0.338,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.348,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.358,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
0.367,-0.0715,0.023,-0.0945,-5.416,-1.3427,-1.3468,0.0041,0.236
