time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.003,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.009,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.011,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.014,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.016,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.021,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.022,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.3054,-0.0297,-1.701
0.027,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.031,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.032,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.036,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.037,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.046,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.051,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.059,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.074,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.079,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.089,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.1,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.111,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
0.12,-0.0508,0.0215,-0.0723,-4.142,-1.3351,-1.307,-0.0282,-1.613
