time_s,cmd_shoulder_rad,actual_shoulder_rad,shoulder_error_rad,shoulder_error_deg,cmd_elbow_rad,actual_elbow_rad,elbow_error_rad,elbow_error_deg
0.0,-1.0344,-0.9603,-0.0741,-4.245,-1.1089,-0.991,-0.1179,-6.758
0.01,-1.0344,-0.9633,-0.071,-4.07,-1.1089,-0.991,-0.1179,-6.758
0.019,-1.0344,-0.9649,-0.0695,-3.982,-1.1089,-0.9925,-0.1164,-6.67
0.029,-1.0344,-0.9664,-0.068,-3.894,-1.1089,-0.994,-0.1149,-6.582
0.042,-1.0344,-0.9664,-0.068,-3.894,-1.1089,-0.9956,-0.1133,-6.494
0.049,-1.0344,-0.9679,-0.0664,-3.806,-1.1089,-0.9986,-0.1103,-6.318
0.062,-1.0344,-0.9695,-0.0649,-3.718,-1.1089,-0.9986,-0.1103,-6.318
0.069,-1.0344,-0.9695,-0.0649,-3.718,-1.1089,-0.9986,-0.1103,-6.318
0.081,-1.0344,-0.971,-0.0634,-3.63,-1.1089,-1.0002,-0.1087,-6.23
0.089,-1.0344,-0.971,-0.0634,-3.63,-1.1089,-1.0002,-0.1087,-6.23
0.103,-1.0344,-0.9725,-0.0618,-3.542,-1.1089,-1.0002,-0.1087,-6.23
0.109,-1.0344,-0.9725,-0.0618,-3.542,-1.1089,-1.0017,-0.1072,-6.142
0.119,-1.0344,-0.9725,-0.0618,-3.542,-1.1089,-1.0017,-0.1072,-6.142
0.13,-1.0344,-0.9741,-0.0603,-3.454,-1.1089,-1.0017,-0.1072,-6.142
0.14,-1.0344,-0.9741,-0.0603,-3.454,-1.1089,-1.0017,-0.1072,-6.142
0.153,-1.0344,-0.9741,-0.0603,-3.454,-1.1089,-1.0017,-0.1072,-6.142
0.16,-1.0344,-0.9741,-0.0603,-3.454,-1.1089,-1.0017,-0.1072,-6.142
0.171,-1.0344,-0.9756,-0.0588,-3.367,-1.1089,-1.0017,-0.1072,-6.142
0.182,-1.0344,-0.9756,-0.0588,-3.367,-1.1089,-1.0032,-0.1057,-6.054
0.191,-1.0344,-0.9756,-0.0588,-3.367,-1.1089,-1.0032,-0.1057,-6.054
